term,z_score,log_odds_delta,count_pre_2023,count_2024_2025,doc_freq_pre_2023,doc_freq_2024_2025,associated_period
technological change,0.7999650273959813,0.7379919457250734,1,9,1,9,Pre-2023
inform future,0.7999650273959813,0.7379919457250734,1,9,1,9,Pre-2023
emerging technology,0.7999650273959813,0.7379919457250734,1,9,1,9,Pre-2023
practitioner notes,0.7999650273959813,0.7379919457250734,1,9,1,9,Pre-2023
recommendation systems,0.7999650273959813,0.7379919457250734,1,9,1,5,Pre-2023
behavior tpb,0.7999650273959813,0.7379919457250734,1,9,1,9,Pre-2023
kindergarten children,0.7999650273959813,0.7379919457250734,1,9,1,4,Pre-2023
subjective norms,0.7999650273959813,0.7379919457250734,1,9,1,8,Pre-2023
critically evaluate,0.729066592624995,0.4430626197032206,2,27,2,26,Pre-2023
problem solving,0.7261013986019906,0.658244634177974,1,10,1,8,Pre-2023
patient outcomes,0.7261013986019906,0.658244634177974,1,10,1,10,Pre-2023
healthcare sector,0.7261013986019906,0.658244634177974,1,10,1,7,Pre-2023
ai-related competencies,0.7261013986019906,0.658244634177974,1,10,1,10,Pre-2023
ai-based tools,0.7261013986019906,0.658244634177974,1,10,1,10,Pre-2023
key concepts,0.7261013986019906,0.658244634177974,1,10,1,10,Pre-2023
new insights,0.7261013986019906,0.658244634177974,1,10,1,10,Pre-2023
participants reported,0.7261013986019906,0.658244634177974,1,10,1,10,Pre-2023
public policy,0.7261013986019906,0.658244634177974,1,10,1,6,Pre-2023
healthcare professionals,0.6613697724631997,0.3161510073348053,3,49,1,31,Pre-2023
curriculum designers,0.6591308658890354,0.5878577583637572,1,11,1,9,Pre-2023
different types,0.6591308658890354,0.5878577583637572,1,11,1,10,Pre-2023
current status,0.6591308658890354,0.5878577583637572,1,11,1,9,Pre-2023
information management,0.6591308658890354,0.5878577583637572,1,11,1,9,Pre-2023
new era,0.6591308658890354,0.5878577583637572,1,11,1,11,Pre-2023
future workforce,0.6591308658890354,0.5878577583637572,1,11,1,8,Pre-2023
lessons learned,0.6591308658890354,0.5878577583637572,1,11,1,11,Pre-2023
successful implementation,0.6591308658890354,0.5878577583637572,1,11,1,11,Pre-2023
human interaction,0.5979240435840435,0.5251264557604358,1,12,1,11,Pre-2023
convenience sampling,0.5979240435840435,0.5251264557604358,1,12,1,12,Pre-2023
nuanced understanding,0.5979240435840435,0.5251264557604358,1,12,1,12,Pre-2023
increasingly integrated,0.5599437970829823,0.32919820818717493,2,32,2,32,Pre-2023
positively associated,0.5415973653218077,0.46876002143342355,1,13,1,12,Pre-2023
critical need,0.5415973653218077,0.46876002143342355,1,13,1,12,Pre-2023
general public,0.5415973653218077,0.46876002143342355,1,13,1,11,Pre-2023
course content,0.48944836469883385,0.4177587317585303,1,14,1,12,Pre-2023
writing tasks,0.48944836469883385,0.4177587317585303,1,14,1,12,Pre-2023
user experience,0.48944836469883385,0.4177587317585303,1,14,1,12,Pre-2023
wide range,0.48944836469883385,0.4177587317585303,1,14,1,14,Pre-2023
technology adoption,0.48944836469883385,0.4177587317585303,1,14,1,13,Pre-2023
focus groups,0.48944836469883385,0.4177587317585303,1,14,1,12,Pre-2023
existing literature,0.44276188794316884,0.2540277766390844,2,36,2,33,Pre-2023
future educators,0.44091052024409516,0.371333214455432,1,15,1,12,Pre-2023
likert scale,0.44091052024409516,0.371333214455432,1,15,1,15,Pre-2023
task performance,0.44091052024409516,0.371333214455432,1,15,1,7,Pre-2023
new opportunities,0.44091052024409516,0.371333214455432,1,15,1,15,Pre-2023
behavioral intentions,0.39552110098756355,0.32884987455042314,1,16,1,11,Pre-2023
united states,0.36314106118691253,0.20476874298751024,2,39,2,38,Pre-2023
critical reflection,0.27472391215117054,0.22032820234120098,1,19,1,15,Pre-2023
practical recommendations,0.27472391215117054,0.22032820234120098,1,19,1,19,Pre-2023
ethical implications,0.2438613880290776,0.10812065029780271,3,69,2,62,Pre-2023
ethical standards,0.2386762974340262,0.1892681239073255,1,20,1,20,Pre-2023
computational thinking,0.22628432777352359,0.09998517290355302,3,70,3,32,Pre-2023
ai-driven future,0.1404115717890379,0.10782740065363505,1,23,1,20,Pre-2023
digital transformation,0.11571964881057294,0.06158645848777233,2,50,1,34,Pre-2023
current state,0.11045914478460112,0.08396724981282944,1,24,1,24,Pre-2023
clinical practice,0.0817083340477118,0.061497785511309466,1,25,1,20,Pre-2023
elementary school,0.0817083340477118,0.061497785511309466,1,25,1,14,Pre-2023
remains limited,0.054060744927520735,0.04029553827275123,1,26,1,26,Pre-2023
pedagogical strategies,0.027429258379552058,0.020251745701890478,1,27,1,24,Pre-2023
rapid integration,0.0017364065390354933,0.0012701650297577416,1,28,1,28,Pre-2023
scoping review,-0.03270242898422023,-0.016761644908961593,2,58,1,31,2024-2025
online survey,-0.11483640339444234,-0.08039962454823169,1,33,1,33,2024-2025
rapid advancement,-0.1361285143078558,-0.09452050654474053,1,34,1,34,2024-2025
structural equation,-0.14145051331720748,-0.05036677047045668,4,124,4,114,2024-2025
inclusive design,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
instant feedback,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
gap investigating,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
growing integration,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
empirical validation,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
including technical,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
goodness fit,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
gaps understanding,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
positive outcomes,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
insufficient training,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
genai reshaping,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
linear regression,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
genai technology,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
genai outputs,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
limited institutional,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
genai offers,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
human-computer interaction,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
governance structures,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
legal considerations,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
empirically validated,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
poses challenges,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
empirical support,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
practical challenges,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
language instruction,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
effectively navigate,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
importance human,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
key component,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
effective prompt,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
presents transformative,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
presents systematic,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
presents opportunities,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
key concerns,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
key issues,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
effectively incorporate,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
importance understanding,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
key questions,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
presents comprehensive,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
effectively integrating,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
effectively utilize,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
emotional responses,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
key trends,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
efl contexts,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
practices particularly,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
practical strategies,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
emerging challenges,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
global discourse,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
gender gap,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
language classroom,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
identified include,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
positively predicted,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
language educators,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
ibm spss,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
language esl,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
little attention,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
innovative solutions,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
future professionals,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
existing digital,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
prisma-scr guidelines,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
especially large,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
essential competencies,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
essential component,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
factors shape,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
need cultivate,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
factor analyses,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
faced educators,-0.2966669311565015,-0.7271136492066272,0,5,0,5,2024-2025
